#1
float HeatingLoadProfiles(52561,10)
# time,bld1 (W),bld2 (W),bld3 (W),bld4 (W),bld5 (W),bld6 (W),bld7 (W),bld8 (W),District (W)
22800000,793.2591553,793.2591553,793.2591553,793.2591553,793.2591553,793.2591553,793.2591553,793.2591553,6346.073242
22800600,777.7213745,777.7213745,777.7213745,777.7213745,777.7213745,777.7213745,777.7213745,777.7213745,6221.770996
22801200,769.4015503,769.4015503,769.4015503,769.4015503,769.4015503,769.4015503,769.4015503,769.4015503,6155.212402
22801800,759.8807983,759.8807983,759.8807983,759.8807983,759.8807983,759.8807983,759.8807983,759.8807983,6079.046387
22802400,5344.186035,5344.186035,5344.186035,5344.186035,5344.186035,5344.186035,5344.186035,5344.186035,42753.48828
22803000,2351.544678,2351.544678,2351.544678,2351.544678,2351.544678,2351.544678,2351.544678,2351.544678,18812.35742
22803600,2157.606201,2157.606201,2157.606201,2157.606201,2157.606201,2157.606201,2157.606201,2157.606201,17260.84961
22804200,2068.878418,2068.878418,2068.878418,2068.878418,2068.878418,2068.878418,2068.878418,2068.878418,16551.02734
22804800,2005.621216,2005.621216,2005.621216,2005.621216,2005.621216,2005.621216,2005.621216,2005.621216,16044.96973
22805400,1957.5271,1957.5271,1957.5271,1957.5271,1957.5271,1957.5271,1957.5271,1957.5271,15660.2168
22806000,1920.101563,1920.101563,1920.101563,1920.101563,1920.101563,1920.101563,1920.101563,1920.101563,15360.8125
22806600,1890.306396,1890.306396,1890.306396,1890.306396,1890.306396,1890.306396,1890.306396,1890.306396,15122.45117
22807200,1860.791504,1860.791504,1860.791504,1860.791504,1860.791504,1860.791504,1860.791504,1860.791504,14886.33203
22807800,1844.120483,1844.120483,1844.120483,1844.120483,1844.120483,1844.120483,1844.120483,1844.120483,14752.96387
22808400,1832.338257,1832.338257,1832.338257,1832.338257,1832.338257,1832.338257,1832.338257,1832.338257,14658.70605
22809000,1820.722534,1820.722534,1820.722534,1820.722534,1820.722534,1820.722534,1820.722534,1820.722534,14565.78027
22809600,1812.334595,1812.334595,1812.334595,1812.334595,1812.334595,1812.334595,1812.334595,1812.334595,14498.67676
22810200,1806.623413,1806.623413,1806.623413,1806.623413,1806.623413,1806.623413,1806.623413,1806.623413,14452.9873
22810800,1802.806274,1802.806274,1802.806274,1802.806274,1802.806274,1802.806274,1802.806274,1802.806274,14422.4502
22811400,1800.586304,1800.586304,1800.586304,1800.586304,1800.586304,1800.586304,1800.586304,1800.586304,14404.69043
22812000,1799.736572,1799.736572,1799.736572,1799.736572,1799.736572,1799.736572,1799.736572,1799.736572,14397.89258
22812600,1800.089355,1800.089355,1800.089355,1800.089355,1800.089355,1800.089355,1800.089355,1800.089355,14400.71484
22813200,1801.534058,1801.534058,1801.534058,1801.534058,1801.534058,1801.534058,1801.534058,1801.534058,14412.27246
22813800,1804.354858,1804.354858,1804.354858,1804.354858,1804.354858,1804.354858,1804.354858,1804.354858,14434.83887
22814400,1808.869751,1808.869751,1808.869751,1808.869751,1808.869751,1808.869751,1808.869751,1808.869751,14470.95801
22815000,1814.683716,1814.683716,1814.683716,1814.683716,1814.683716,1814.683716,1814.683716,1814.683716,14517.46973
22815600,1821.18396,1821.18396,1821.18396,1821.18396,1821.18396,1821.18396,1821.18396,1821.18396,14569.47168
22816200,1827.802856,1827.802856,1827.802856,1827.802856,1827.802856,1827.802856,1827.802856,1827.802856,14622.42285
22816800,1834.553467,1834.553467,1834.553467,1834.553467,1834.553467,1834.553467,1834.553467,1834.553467,14676.42773
22817400,1840.258545,1840.258545,1840.258545,1840.258545,1840.258545,1840.258545,1840.258545,1840.258545,14722.06836
22818000,1843.904541,1843.904541,1843.904541,1843.904541,1843.904541,1843.904541,1843.904541,1843.904541,14751.23633
22818600,1845.873291,1845.873291,1845.873291,1845.873291,1845.873291,1845.873291,1845.873291,1845.873291,14766.98633
22819200,1846.772217,1846.772217,1846.772217,1846.772217,1846.772217,1846.772217,1846.772217,1846.772217,14774.17773
22819800,1847.402832,1847.402832,1847.402832,1847.402832,1847.402832,1847.402832,1847.402832,1847.402832,14779.22266
22820400,1848.698242,1848.698242,1848.698242,1848.698242,1848.698242,1848.698242,1848.698242,1848.698242,14789.58594
22821000,1851.076782,1851.076782,1851.076782,1851.076782,1851.076782,1851.076782,1851.076782,1851.076782,14808.61426
22821600,1854.156494,1854.156494,1854.156494,1854.156494,1854.156494,1854.156494,1854.156494,1854.156494,14833.25195
22822200,1857.71521,1857.71521,1857.71521,1857.71521,1857.71521,1857.71521,1857.71521,1857.71521,14861.72168
22822800,1861.2771,1861.2771,1861.2771,1861.2771,1861.2771,1861.2771,1861.2771,1861.2771,14890.2168
22823400,1864.851929,1864.851929,1864.851929,1864.851929,1864.851929,1864.851929,1864.851929,1864.851929,14918.81543
22824000,1868.427368,1868.427368,1868.427368,1868.427368,1868.427368,1868.427368,1868.427368,1868.427368,14947.41895
22824600,1872.209229,1872.209229,1872.209229,1872.209229,1872.209229,1872.209229,1872.209229,1872.209229,14977.67383
22825200,1876.388306,1876.388306,1876.388306,1876.388306,1876.388306,1876.388306,1876.388306,1876.388306,15011.10645
22825800,1880.722534,1880.722534,1880.722534,1880.722534,1880.722534,1880.722534,1880.722534,1880.722534,15045.78027
22826400,1884.87915,1884.87915,1884.87915,1884.87915,1884.87915,1884.87915,1884.87915,1884.87915,15079.0332
22827000,1888.57373,1888.57373,1888.57373,1888.57373,1888.57373,1888.57373,1888.57373,1888.57373,15108.58984
22827600,1891.620972,1891.620972,1891.620972,1891.620972,1891.620972,1891.620972,1891.620972,1891.620972,15132.96777
22828200,1894.145264,1894.145264,1894.145264,1894.145264,1894.145264,1894.145264,1894.145264,1894.145264,15153.16211
22828800,1895.107666,1895.107666,1895.107666,1895.107666,1895.107666,1895.107666,1895.107666,1895.107666,15160.86133
22829400,1893.866089,1893.866089,1893.866089,1893.866089,1893.866089,1893.866089,1893.866089,1893.866089,15150.92871
22830000,1883.906128,1883.906128,1883.906128,1883.906128,1883.906128,1883.906128,1883.906128,1883.906128,15071.24902
22830600,1847.189087,1847.189087,1847.189087,1847.189087,1847.189087,1847.189087,1847.189087,1847.189087,14777.5127
22831200,1764.663208,1764.663208,1764.663208,1764.663208,1764.663208,1764.663208,1764.663208,1764.663208,14117.30566
22831800,1625.537842,1625.537842,1625.537842,1625.537842,1625.537842,1625.537842,1625.537842,1625.537842,13004.30273
22832400,1499.526489,1499.526489,1499.526489,1499.526489,1499.526489,1499.526489,1499.526489,1499.526489,11996.21191
22833000,1379.880249,1379.880249,1379.880249,1379.880249,1379.880249,1379.880249,1379.880249,1379.880249,11039.04199
22833600,1248.986206,1248.986206,1248.986206,1248.986206,1248.986206,1248.986206,1248.986206,1248.986206,9991.889648
22834200,1105.048828,1105.048828,1105.048828,1105.048828,1105.048828,1105.048828,1105.048828,1105.048828,8840.390625
22834800,257.072998,257.072998,257.072998,257.072998,257.072998,257.072998,257.072998,257.072998,2056.583984
22835400,0,0,0,0,0,0,0,0,0
22836000,0,0,0,0,0,0,0,0,0
22836600,0,0,0,0,0,0,0,0,0
22837200,0,0,0,0,0,0,0,0,0
22837800,0,0,0,0,0,0,0,0,0
22838400,0,0,0,0,0,0,0,0,0
22839000,0,0,0,0,0,0,0,0,0
22839600,0,0,0,0,0,0,0,0,0
22840200,0,0,0,0,0,0,0,0,0
22840800,0,0,0,0,0,0,0,0,0
22841400,0,0,0,0,0,0,0,0,0
22842000,0,0,0,0,0,0,0,0,0
22842600,0,0,0,0,0,0,0,0,0
22843200,0,0,0,0,0,0,0,0,0
22843800,0,0,0,0,0,0,0,0,0
22844400,0,0,0,0,0,0,0,0,0
22845000,0,0,0,0,0,0,0,0,0
22845600,0,0,0,0,0,0,0,0,0
22846200,0,0,0,0,0,0,0,0,0
22846800,0,0,0,0,0,0,0,0,0
22847400,0,0,0,0,0,0,0,0,0
22848000,0,0,0,0,0,0,0,0,0
22848600,0,0,0,0,0,0,0,0,0
22849200,0,0,0,0,0,0,0,0,0
22849800,0,0,0,0,0,0,0,0,0
22850400,0,0,0,0,0,0,0,0,0
22851000,0,0,0,0,0,0,0,0,0
22851600,0,0,0,0,0,0,0,0,0
22852200,0,0,0,0,0,0,0,0,0
22852800,0,0,0,0,0,0,0,0,0
22853400,0,0,0,0,0,0,0,0,0
22854000,0,0,0,0,0,0,0,0,0
22854600,0,0,0,0,0,0,0,0,0
22855200,0,0,0,0,0,0,0,0,0
22855800,0,0,0,0,0,0,0,0,0
22856400,0,0,0,0,0,0,0,0,0
22857000,0,0,0,0,0,0,0,0,0
22857600,0,0,0,0,0,0,0,0,0
22858200,0,0,0,0,0,0,0,0,0
22858800,0,0,0,0,0,0,0,0,0
22859400,0,0,0,0,0,0,0,0,0
22860000,0,0,0,0,0,0,0,0,0
22860600,0,0,0,0,0,0,0,0,0
22861200,0,0,0,0,0,0,0,0,0
22861800,0,0,0,0,0,0,0,0,0
22862400,0,0,0,0,0,0,0,0,0
22863000,0,0,0,0,0,0,0,0,0
22863600,0,0,0,0,0,0,0,0,0
22864200,0,0,0,0,0,0,0,0,0
22864800,0,0,0,0,0,0,0,0,0
22865400,0,0,0,0,0,0,0,0,0
22866000,0,0,0,0,0,0,0,0,0
22866600,0,0,0,0,0,0,0,0,0
22867200,0,0,0,0,0,0,0,0,0
22867800,0,0,0,0,0,0,0,0,0
22868400,0,0,0,0,0,0,0,0,0
22869000,0,0,0,0,0,0,0,0,0
22869600,0,0,0,0,0,0,0,0,0
22870200,0,0,0,0,0,0,0,0,0
22870800,7058.713867,7058.713867,7058.713867,7058.713867,7058.713867,7058.713867,7058.713867,7058.713867,56469.71094
22871400,810.4351807,810.4351807,810.4351807,810.4351807,810.4351807,810.4351807,810.4351807,810.4351807,6483.481445
22872000,755.5310059,755.5310059,755.5310059,755.5310059,755.5310059,755.5310059,755.5310059,755.5310059,6044.248047
22872600,738.3168335,738.3168335,738.3168335,738.3168335,738.3168335,738.3168335,738.3168335,738.3168335,5906.534668
22873200,726.0847778,726.0847778,726.0847778,726.0847778,726.0847778,726.0847778,726.0847778,726.0847778,5808.678223
22873800,712.5700073,712.5700073,712.5700073,712.5700073,712.5700073,712.5700073,712.5700073,712.5700073,5700.560059
22874400,700.3306274,700.3306274,700.3306274,700.3306274,700.3306274,700.3306274,700.3306274,700.3306274,5602.64502
22875000,688.7283936,688.7283936,688.7283936,688.7283936,688.7283936,688.7283936,688.7283936,688.7283936,5509.827148
22875600,677.8905029,677.8905029,677.8905029,677.8905029,677.8905029,677.8905029,677.8905029,677.8905029,5423.124023
22876200,667.7549438,667.7549438,667.7549438,667.7549438,667.7549438,667.7549438,667.7549438,667.7549438,5342.039551
22876800,658.3527832,658.3527832,658.3527832,658.3527832,658.3527832,658.3527832,658.3527832,658.3527832,5266.822266
22877400,649.7401733,649.7401733,649.7401733,649.7401733,649.7401733,649.7401733,649.7401733,649.7401733,5197.921387
22878000,641.928772,641.928772,641.928772,641.928772,641.928772,641.928772,641.928772,641.928772,5135.430176
22878600,634.9436646,634.9436646,634.9436646,634.9436646,634.9436646,634.9436646,634.9436646,634.9436646,5079.549316
22879200,628.8059692,628.8059692,628.8059692,628.8059692,628.8059692,628.8059692,628.8059692,628.8059692,5030.447754
22879800,623.4938354,623.4938354,623.4938354,623.4938354,623.4938354,623.4938354,623.4938354,623.4938354,4987.950684
22880400,618.9707642,618.9707642,618.9707642,618.9707642,618.9707642,618.9707642,618.9707642,618.9707642,4951.766113
22881000,615.229126,615.229126,615.229126,615.229126,615.229126,615.229126,615.229126,615.229126,4921.833008
22881600,612.3046875,612.3046875,612.3046875,612.3046875,612.3046875,612.3046875,612.3046875,612.3046875,4898.4375
22882200,610.185791,610.185791,610.185791,610.185791,610.185791,610.185791,610.185791,610.185791,4881.486328
22882800,608.4855957,608.4855957,608.4855957,608.4855957,608.4855957,608.4855957,608.4855957,608.4855957,4867.884766
22883400,607.3242188,607.3242188,607.3242188,607.3242188,607.3242188,607.3242188,607.3242188,607.3242188,4858.59375
22884000,606.8391724,606.8391724,606.8391724,606.8391724,606.8391724,606.8391724,606.8391724,606.8391724,4854.713379
22884600,606.8410645,606.8410645,606.8410645,606.8410645,606.8410645,606.8410645,606.8410645,606.8410645,4854.728516
22885200,607.0021362,607.0021362,607.0021362,607.0021362,607.0021362,607.0021362,607.0021362,607.0021362,4856.01709
22885800,608.3896484,608.3896484,608.3896484,608.3896484,608.3896484,608.3896484,608.3896484,608.3896484,4867.117188
22886400,610.27948,610.27948,610.27948,610.27948,610.27948,610.27948,610.27948,610.27948,4882.23584
22887000,613.7102661,613.7102661,613.7102661,613.7102661,613.7102661,613.7102661,613.7102661,613.7102661,4909.682129
22887600,617.5459595,617.5459595,617.5459595,617.5459595,617.5459595,617.5459595,617.5459595,617.5459595,4940.367676
22888200,622.2359619,622.2359619,622.2359619,622.2359619,622.2359619,622.2359619,622.2359619,622.2359619,4977.887695
22888800,5281.536133,5281.536133,5281.536133,5281.536133,5281.536133,5281.536133,5281.536133,5281.536133,42252.28906
22889400,1376.015503,1376.015503,1376.015503,1376.015503,1376.015503,1376.015503,1376.015503,1376.015503,11008.12402
22890000,1303.707397,1303.707397,1303.707397,1303.707397,1303.707397,1303.707397,1303.707397,1303.707397,10429.65918
22890600,1284.587158,1284.587158,1284.587158,1284.587158,1284.587158,1284.587158,1284.587158,1284.587158,10276.69727
22891200,1277.070313,1277.070313,1277.070313,1277.070313,1277.070313,1277.070313,1277.070313,1277.070313,10216.5625
22891800,1276.062378,1276.062378,1276.062378,1276.062378,1276.062378,1276.062378,1276.062378,1276.062378,10208.49902
22892400,1279.234741,1279.234741,1279.234741,1279.234741,1279.234741,1279.234741,1279.234741,1279.234741,10233.87793
22893000,1285.059326,1285.059326,1285.059326,1285.059326,1285.059326,1285.059326,1285.059326,1285.059326,10280.47461
22893600,1292.733398,1292.733398,1292.733398,1292.733398,1292.733398,1292.733398,1292.733398,1292.733398,10341.86719
22894200,1301.887695,1301.887695,1301.887695,1301.887695,1301.887695,1301.887695,1301.887695,1301.887695,10415.10156
22894800,1312.399292,1312.399292,1312.399292,1312.399292,1312.399292,1312.399292,1312.399292,1312.399292,10499.19434
22895400,1324.335449,1324.335449,1324.335449,1324.335449,1324.335449,1324.335449,1324.335449,1324.335449,10594.68359
22896000,1337.901123,1337.901123,1337.901123,1337.901123,1337.901123,1337.901123,1337.901123,1337.901123,10703.20898
22896600,1352.858765,1352.858765,1352.858765,1352.858765,1352.858765,1352.858765,1352.858765,1352.858765,10822.87012
22897200,1368.555542,1368.555542,1368.555542,1368.555542,1368.555542,1368.555542,1368.555542,1368.555542,10948.44434
22897800,1384.850342,1384.850342,1384.850342,1384.850342,1384.850342,1384.850342,1384.850342,1384.850342,11078.80273
22898400,1401.663574,1401.663574,1401.663574,1401.663574,1401.663574,1401.663574,1401.663574,1401.663574,11213.30859
22899000,1418.965332,1418.965332,1418.965332,1418.965332,1418.965332,1418.965332,1418.965332,1418.965332,11351.72266
22899600,1436.770752,1436.770752,1436.770752,1436.770752,1436.770752,1436.770752,1436.770752,1436.770752,11494.16602
22900200,1455.161499,1455.161499,1455.161499,1455.161499,1455.161499,1455.161499,1455.161499,1455.161499,11641.29199
22900800,1474.201782,1474.201782,1474.201782,1474.201782,1474.201782,1474.201782,1474.201782,1474.201782,11793.61426
22901400,1493.857178,1493.857178,1493.857178,1493.857178,1493.857178,1493.857178,1493.857178,1493.857178,11950.85742
22902000,1514.056396,1514.056396,1514.056396,1514.056396,1514.056396,1514.056396,1514.056396,1514.056396,12112.45117
22902600,1534.686523,1534.686523,1534.686523,1534.686523,1534.686523,1534.686523,1534.686523,1534.686523,12277.49219
