Time_Te,Te,Time_Ns,Ns,Time_Ia,Ia,Time_KW,KW
0.080707868,64.56189991,0.745375413,1437.004286,0.193,-13.52537164,,
0.080752623,57.01527372,0.748249953,1437.004286,0.194,-34.52399827,,
0.081385584,49.72419465,0.757831756,1437.004286,0.195,-52.49932258,,
0.081692474,42.42512974,0.760706297,1437.004286,0.196,-66.85581394,,
0.081737228,35.18595869,0.769329919,1437.004286,0.197,-74.95121684,,
0.082667133,27.97784371,0.77220446,1437.004286,0.198,-76.46536999,,
0.082721834,20.42811191,0.774119145,1439.151816,0.199,-69.45375839,,
0.083583363,13.1260523,0.781786263,1437.004286,0.2,-58.98853144,,
0.083706439,5.977720267,0.784180876,1438.078051,0.201,-37.85120882,,
0.084691044,-0.78629284,0.791368065,1437.004286,0.202,-18.37919724,,
0.087600105,4.915602507,0.794242606,1437.004286,0.203,4.929600538,,
0.087973061,11.921853,,,0.204,26.48651634,,
0.088629465,19.19829134,,,0.205,45.99297722,,
0.088981109,26.44544824,,,0.206,59.54985178,,
0.089569315,33.81638579,,,0.207,67.29647009,,
0.08961407,41.33506151,,,0.208,67.81656853,,
0.090475599,48.63712112,,,0.209,61.21103645,,
0.09055392,55.95315596,,,0.21,47.64892051,,
0.090653375,63.02772981,,,0.211,33.60585167,,
0.09148482,70.85075507,,,0.212,9.869284878,,
0.09158328,77.61476818,,,0.213,-10.96669092,,
0.091706356,85.07055536,,,0.214,-29.73208059,,
0.092523131,92.5123673,,,0.215,-58.64277493,,
0.092567886,99.75153835,,,0.216,-67.39750994,,
0.09345403,107.1304617,,,0.217,-72.38750776,,
0.093597246,114.3696328,,,0.218,-68.68320457,,
0.094372995,121.9907936,,,0.219,-58.53629027,,
0.094635556,128.6523216,,,0.22,-44.68496613,,
0.09629532,134.7575023,,,0.221,-23.03571743,,
0.098251743,128.5684702,,,0.222,-1.553791135,,
0.098475517,121.5808534,,,0.223,19.34204803,,
0.099460122,114.5093851,,,0.224,40.87680061,,
0.099504877,107.2702141,,,0.225,54.35108818,,
0.100444727,99.75153835,,,0.226,67.48622256,,
0.100444727,92.6800701,,,0.227,70.37863809,,
0.101330872,84.74772746,,,0.228,67.31547746,,
0.101429332,78.22967846,,,0.229,58.80574926,,
0.101798559,70.6970275,,,0.23,43.24841177,,
0.102413938,63.47183168,,,0.231,24.22172865,,
0.102413938,56.09290829,,,0.232,2.411982781,,
