"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72279210938E+005,  0.36275504890E+001,  0.30255798429E-004,  0.00000000000E+000,  0.31892710605E-006,  0.48471693427E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72279234375E+005,  0.36275485528E+001,  0.30255782196E-004,  0.00000000000E+000,  0.31892693504E-006,  0.48471667409E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72279281250E+005,  0.36275446801E+001,  0.30255749725E-004,  0.00000000000E+000,  0.31892659297E-006,  0.48471615366E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72279375000E+005,  0.36275369326E+001,  0.30255684768E-004,  0.00000000000E+000,  0.31892590867E-006,  0.48471511256E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72279562500E+005,  0.36275214306E+001,  0.30255554793E-004,  0.00000000000E+000,  0.31892453945E-006,  0.48471302939E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72279937500E+005,  0.36274903996E+001,  0.30255294618E-004,  0.00000000000E+000,  0.31892179861E-006,  0.48470885944E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72280687500E+005,  0.36274282442E+001,  0.30254773486E-004,  0.00000000000E+000,  0.31891630870E-006,  0.48470050701E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72280693359E+005,  0.36274277586E+001,  0.30254769415E-004,  0.00000000000E+000,  0.31891626581E-006,  0.48470044176E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72280705078E+005,  0.36274267874E+001,  0.30254761272E-004,  0.00000000000E+000,  0.31891618003E-006,  0.48470031125E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72280728516E+005,  0.36274248449E+001,  0.30254744985E-004,  0.00000000000E+000,  0.31891600846E-006,  0.48470005021E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72280775391E+005,  0.36274209595E+001,  0.30254712409E-004,  0.00000000000E+000,  0.31891566528E-006,  0.48469952809E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72280869141E+005,  0.36274131873E+001,  0.30254647244E-004,  0.00000000000E+000,  0.31891497880E-006,  0.48469848367E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72281056641E+005,  0.36273976376E+001,  0.30254516870E-004,  0.00000000000E+000,  0.31891360536E-006,  0.48469639410E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72281431641E+005,  0.36273665180E+001,  0.30254255954E-004,  0.00000000000E+000,  0.31891085671E-006,  0.48469221227E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72282181641E+005,  0.36273042101E+001,  0.30253733544E-004,  0.00000000000E+000,  0.31890535335E-006,  0.48468383936E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72282187500E+005,  0.36273037233E+001,  0.30253729463E-004,  0.00000000000E+000,  0.31890531035E-006,  0.48468377395E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72282199219E+005,  0.36273027497E+001,  0.30253721300E-004,  0.00000000000E+000,  0.31890522436E-006,  0.48468364312E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72282222656E+005,  0.36273008025E+001,  0.30253704974E-004,  0.00000000000E+000,  0.31890505237E-006,  0.48468338145E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72282269531E+005,  0.36272969077E+001,  0.30253672319E-004,  0.00000000000E+000,  0.31890470836E-006,  0.48468285808E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72282363281E+005,  0.36272891172E+001,  0.30253607001E-004,  0.00000000000E+000,  0.31890402026E-006,  0.48468181119E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72282550781E+005,  0.36272735322E+001,  0.30253476331E-004,  0.00000000000E+000,  0.31890264371E-006,  0.48467971688E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72282925781E+005,  0.36272423474E+001,  0.30253214868E-004,  0.00000000000E+000,  0.31889988931E-006,  0.48467552630E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72283675781E+005,  0.36271799272E+001,  0.30252691519E-004,  0.00000000000E+000,  0.31889437603E-006,  0.48466713832E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72283681641E+005,  0.36271794396E+001,  0.30252687430E-004,  0.00000000000E+000,  0.31889433296E-006,  0.48466707279E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72283693359E+005,  0.36271784642E+001,  0.30252679252E-004,  0.00000000000E+000,  0.31889424681E-006,  0.48466694172E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72283716797E+005,  0.36271765135E+001,  0.30252662897E-004,  0.00000000000E+000,  0.31889407451E-006,  0.48466667958E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72283763672E+005,  0.36271726119E+001,  0.30252630185E-004,  0.00000000000E+000,  0.31889372990E-006,  0.48466615529E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72283857422E+005,  0.36271648079E+001,  0.30252564753E-004,  0.00000000000E+000,  0.31889304061E-006,  0.48466510659E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72284044922E+005,  0.36271491969E+001,  0.30252433866E-004,  0.00000000000E+000,  0.31889166177E-006,  0.48466300880E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72284419922E+005,  0.36271179641E+001,  0.30252172001E-004,  0.00000000000E+000,  0.31888890313E-006,  0.48465881176E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72285169922E+005,  0.36270554607E+001,  0.30251647955E-004,  0.00000000000E+000,  0.31888338251E-006,  0.48465041262E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72286669922E+005,  0.36269303370E+001,  0.30250598882E-004,  0.00000000000E+000,  0.31887233095E-006,  0.48463359863E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72288169922E+005,  0.36268051211E+001,  0.30249549038E-004,  0.00000000000E+000,  0.31886127126E-006,  0.48461677228E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72288181641E+005,  0.36268041428E+001,  0.30249540836E-004,  0.00000000000E+000,  0.31886118486E-006,  0.48461664082E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72288205078E+005,  0.36268021863E+001,  0.30249524432E-004,  0.00000000000E+000,  0.31886101205E-006,  0.48461637790E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72288251953E+005,  0.36267982731E+001,  0.30249491623E-004,  0.00000000000E+000,  0.31886066642E-006,  0.48461585206E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72288345703E+005,  0.36267904465E+001,  0.30249426003E-004,  0.00000000000E+000,  0.31885997513E-006,  0.48461480032E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72288533203E+005,  0.36267747918E+001,  0.30249294750E-004,  0.00000000000E+000,  0.31885859244E-006,  0.48461269667E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72288908203E+005,  0.36267434775E+001,  0.30249032202E-004,  0.00000000000E+000,  0.31885582659E-006,  0.48460848868E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72289658203E+005,  0.36266808306E+001,  0.30248506954E-004,  0.00000000000E+000,  0.31885029332E-006,  0.48460007028E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72291158203E+005,  0.36265554780E+001,  0.30247455964E-004,  0.00000000000E+000,  0.31883922156E-006,  0.48458322557E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72291169922E+005,  0.36265544987E+001,  0.30247447753E-004,  0.00000000000E+000,  0.31883913506E-006,  0.48458309398E-009,  0.00000000000E+000,  0.00000000000E+000
